config,seed,scenario,accuracy,macro_f1,weighted_f1,mae,pearson,ccc,best_epoch,train_seconds
rec0.3_span6_long,42,clean,0.6354883081155434,0.6048548406078784,0.641126402834633,0.6362078785896301,0.6720363579915586,0.6598888820480164,3,64.2
rec0.3_span6_long,42,triple_30,0.6286107290233838,0.6055021880111457,0.6363601584440902,0.6508385539054871,0.6561719101444701,0.6382884732262383,3,64.2
rec0.3_span6_long,42,single_text_30,0.6354883081155434,0.614862102825414,0.6441270648530112,0.6493456959724426,0.656249378756116,0.6378375369053134,3,64.2
rec0.3_span6_long,42,single_audio_30,0.6368638239339752,0.6061556952499288,0.6424692325369739,0.6363993287086487,0.6713353118891959,0.6588831670225825,3,64.2
rec0.3_span6_long,42,single_vision_30,0.640990371389271,0.6087129054520358,0.6453690967446125,0.6357986330986023,0.6728858575905544,0.6608588010613184,3,64.2
rec0.05_span6,42,clean,0.656121045392022,0.6203925229127774,0.6609886282165955,0.621012806892395,0.6922125223518528,0.6748119872625598,6,92.7
rec0.05_span6,42,triple_30,0.6602475928473177,0.6281143538788522,0.6654363985788591,0.6313226222991943,0.6799591644854895,0.6593550481064038,6,92.7
rec0.05_span6,42,single_text_30,0.6629986244841816,0.6311955038610386,0.668712733812698,0.6327685117721558,0.6795203108018905,0.6597232909580016,6,92.7
rec0.05_span6,42,single_audio_30,0.6547455295735901,0.6187500411787513,0.6591884914338804,0.622089147567749,0.6910127005101538,0.6734652464972367,6,92.7
rec0.05_span6,42,single_vision_30,0.6519944979367263,0.6168892278276367,0.6571480332166879,0.6190095543861389,0.69258640404719,0.6747332544141916,6,92.7
rec0.1_span6,42,clean,0.6533700137551581,0.6192021178016184,0.6568361011107461,0.6468822956085205,0.6691907969333565,0.660840475058959,3,67.9
rec0.1_span6,42,triple_30,0.6354883081155434,0.6135233626646169,0.6439094868049078,0.658107578754425,0.6521145269528361,0.6384798763580113,3,67.9
rec0.1_span6,42,single_text_30,0.6327372764786795,0.6113008072096324,0.6428261641444083,0.6571199297904968,0.6527346487786692,0.6380456371529386,3,67.9
rec0.1_span6,42,single_audio_30,0.6478679504814305,0.612892283962465,0.6511408111327389,0.6472107768058777,0.6682183334898556,0.6598260993502643,3,67.9
rec0.1_span6,42,single_vision_30,0.6478679504814305,0.6148128556647059,0.6523412802145855,0.6471033692359924,0.6695052415716248,0.6612980400788276,3,67.9
rec0.3_span3,42,clean,0.6464924346629987,0.6073773124120301,0.649244336003905,0.6525165438652039,0.6682846706222595,0.6582429865300959,3,66.6
rec0.3_span3,42,triple_30,0.6437414030261348,0.6156460872140063,0.6499152743195984,0.657010555267334,0.6545873064508247,0.6386879445730002,3,66.6
rec0.3_span3,42,single_text_30,0.6354883081155434,0.607084029056661,0.6428511378409211,0.657981276512146,0.6529964282318738,0.6358864034382331,3,66.6
rec0.3_span3,42,single_audio_30,0.6451169188445667,0.605353759145783,0.6476232252637222,0.6521536707878113,0.6682678179512276,0.6580753367654187,3,66.6
rec0.3_span3,42,single_vision_30,0.6478679504814305,0.6097258668082275,0.6507475149444863,0.6514661908149719,0.6692426886498181,0.6592850923437878,3,66.6
rec0.3_span12,42,clean,0.6396148555708391,0.6085008198881939,0.646088689312103,0.6190117001533508,0.6917693099831151,0.6606314701168244,5,83.4
rec0.3_span12,42,triple_30,0.6437414030261348,0.6201086270523021,0.6519502205345061,0.6333795189857483,0.6724818258819888,0.6333661762352203,5,83.4
rec0.3_span12,42,single_text_30,0.6533700137551581,0.6293713837403158,0.6612107776662203,0.6344930529594421,0.6731341450172421,0.6362365340406273,5,83.4
rec0.3_span12,42,single_audio_30,0.640990371389271,0.6101996168903501,0.647374505096011,0.6192659735679626,0.6907931203572198,0.658576509959168,5,83.4
rec0.3_span12,42,single_vision_30,0.6396148555708391,0.6092528459816838,0.6463151650050108,0.6169627904891968,0.691535865166631,0.660061524598434,5,83.4
rec0.3_span6_long,43,clean,0.6657496561210454,0.6332689832599647,0.6707609554208903,0.6226925849914551,0.7065413959770854,0.6385901911317317,4,75.3
rec0.3_span6_long,43,triple_30,0.6437414030261348,0.6116432898691374,0.6511694069379262,0.6446072459220886,0.6813795809161953,0.6063709047296633,4,75.3
rec0.3_span6_long,43,single_text_30,0.6506189821182944,0.616643926745606,0.6572463833806935,0.6466805934906006,0.6817731508975737,0.6080832246290255,4,75.3
