epoch,score,lr,seconds,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_pearson,train_ccc,train_loss,train_cls,train_reg,train_rec,train_distill,valid_clean_accuracy,valid_clean_macro_f1,valid_clean_weighted_f1,valid_clean_mae,valid_clean_pearson,valid_clean_ccc,valid_clean_loss,valid_clean_cls,valid_clean_reg,valid_clean_rec,valid_clean_distill,valid_missing_accuracy,valid_missing_macro_f1,valid_missing_weighted_f1,valid_missing_mae,valid_missing_pearson,valid_missing_ccc,valid_missing_loss,valid_missing_cls,valid_missing_reg,valid_missing_rec,valid_missing_distill
1,0.6584307441637077,0.001,7.1,0.5272459499263623,0.49909093652615216,0.5349432925831499,0.748538613319397,0.46299920577396675,0.34977771683648806,2.2402909704090392,0.9702960239945525,0.39880932260068774,2.050374888039478,0.45547779301436553,0.5975274725274725,0.600690159513689,0.6105389708330885,0.619775116443634,0.6579385024919657,0.5610966289079308,1.0211193967651535,0.8786017842345185,0.28503521785631286,0.0,0.0,0.5824175824175825,0.586071601200027,0.5967462331528369,0.6270357966423035,0.6504986380684976,0.5431555359046996,2.1547224862234935,0.8856121209951547,0.2913939500903035,3.7447110820602583,0.0
2,0.6367145888933161,0.001,6.6,0.6153166421207659,0.6091162460160352,0.6287806200709136,0.6417773962020874,0.6586209840124426,0.5534863792495673,1.4735955966238772,0.8311651179295401,0.3110639072482821,1.1077017425261821,0.15458799306857393,0.5824175824175825,0.576830430165586,0.5853948203619104,0.5973622798919678,0.6592852296895267,0.5335630646953469,1.016255103624784,0.8761727547907567,0.28016473467533404,0.0,0.0,0.5728021978021978,0.56700629430885,0.5763832156198433,0.6031665802001953,0.6479622665609814,0.5238537590647541,2.2877494267054965,0.8887938876728435,0.28503595079694477,4.188125060154841,0.0
3,0.6604691099359485,0.001,6.3,0.6509572901325479,0.6434521271777495,0.6609920025662999,0.6148574352264404,0.6932654270035067,0.589584378901085,1.3028834086630237,0.7734132553059855,0.2913287249334782,0.893798250793884,0.11566630731911477,0.5947802197802198,0.594973123461554,0.6047353100433741,0.5910729765892029,0.6613370615500862,0.5935407106224507,1.001336205136645,0.8668713569641113,0.26892970158503604,0.0,0.0,0.5934065934065934,0.5951187293380514,0.6033033905984726,0.5957010388374329,0.6542318353614579,0.5787694619848158,2.121986449419797,0.8690410223635998,0.27334733585734944,3.7209058096120646,0.0
4,0.6907262576716295,0.001,6.5,0.6733431516936672,0.6632925226312288,0.6826704834927863,0.6057296395301819,0.7171510149262692,0.6116399270734275,1.2264428078338219,0.744686585515518,0.2801908596713694,0.8151877276500651,0.09710446700168464,0.6387362637362637,0.624175599218326,0.6424685805784217,0.5899724364280701,0.6653220140540509,0.6085136509220233,0.9907853603363037,0.8569583368825389,0.2676540573874673,0.0,0.0,0.6387362637362637,0.6250205274739712,0.643384450803901,0.591406524181366,0.6612819432548102,0.5989809282237274,2.117009160282848,0.8594952016086369,0.2698189845451942,3.7420147696694177,0.0
5,0.6802288617904039,0.001,6.5,0.6889543446244477,0.6781666351470582,0.6974751880615273,0.5856146216392517,0.7379791581615829,0.6350031391338322,1.1592593024335307,0.7193913512272055,0.2662588060363052,0.7432809686450087,0.08375424268890024,0.6222527472527473,0.6140897842252501,0.6304347846477186,0.6015639305114746,0.6594843770294173,0.5611944765486907,0.9992165722689785,0.8614607341996916,0.2755116751560798,0.0,0.0,0.6208791208791209,0.6151028970720375,0.6294496070615101,0.6026930809020996,0.6563252114176007,0.5531334985297757,2.0979863785125397,0.866481778385875,0.27741292053526573,3.642660292950305,0.0
6,0.6848059017750472,0.001,6.5,0.700441826215022,0.6918315066166941,0.7083738311365253,0.5776012539863586,0.7459063126246592,0.6386305234582574,1.1256742829953448,0.6875685917611326,0.26225494633542595,0.7149403270811325,0.0924961073749283,0.6263736263736264,0.6234826065524622,0.6355753639166412,0.5974971055984497,0.6675606245010929,0.5587190501101439,0.9935993414658767,0.8557163149445921,0.2757660350301763,0.0,0.0,0.6167582417582418,0.6140053457575005,0.6266192430640989,0.6031873226165771,0.6606192562006581,0.5402600989589471,1.9945041766533484,0.8571619666539706,0.28095346558225026,3.3228847849500047,0.0
7,0.6738239186252583,0.0005,6.5,0.7257731958762886,0.7162029845413591,0.7321531329343461,0.5693658590316772,0.7587881014840253,0.6507007573586131,1.0860309102047174,0.6585812482286096,0.2564444649114173,0.6896972310736182,0.09231824544813917,0.6236263736263736,0.6098400425097749,0.6277525892058058,0.58657306432724,0.675967583434839,0.5978767627154126,0.9895053080150059,0.8546901757900531,0.2696302749298431,0.0,0.0,0.6195054945054945,0.6048931649954669,0.6231851715044991,0.5917843580245972,0.6645731487263735,0.5815602243440149,1.9975593378255656,0.8607014483147926,0.27452463239103886,3.33198518543453,0.0
8,0.6779838795645681,0.0005,6.4,0.7463917525773196,0.7397126251053742,0.7523507955164668,0.5506297945976257,0.7752040731855706,0.6691447743489357,1.038258417769279,0.6232962055480181,0.24441864049838463,0.6661874069907704,0.09289665780028819,0.6153846153846154,0.6092214663643235,0.6243002442861697,0.5895585417747498,0.673654771255451,0.5841815156667214,1.0055346122154822,0.8705315249306815,0.2700061804645664,0.0,0.0,0.6181318681318682,0.6133098302412453,0.6267747735134509,0.5915392637252808,0.6671823126178364,0.5733332473949279,1.9774568683498508,0.8717296961899642,0.2730246133856721,3.2307160712860443,0.0
9,0.6758569676686323,0.0005,6.4,0.7602356406480117,0.7532808868190815,0.7652476117181161,0.5506423115730286,0.7737405153478444,0.6658878004587959,1.0046419975508296,0.5999854380849183,0.24518452516272773,0.6275204294384491,0.09380815706828909,0.625,0.611500040875892,0.6295849533404129,0.5886853933334351,0.6693576962470675,0.5991098739468997,1.004618546464941,0.8697785453481989,0.2696799812736092,0.0,0.0,0.6195054945054945,0.6078071716589356,0.624083413094813,0.5900879502296448,0.6620336140121852,0.5894068007841603,1.9704060449705019,0.8696026500764784,0.2712065623356746,3.217333505441854,0.0
10,0.6644066280205552,0.00025,6.5,0.7784977908689249,0.7718120686446293,0.7830306767124043,0.5391135811805725,0.7859139971211521,0.6784585725049278,0.9798632961309711,0.5696734977400532,0.2375976279487666,0.619905541957917,0.10541930756969199,0.6222527472527473,0.6046634674541651,0.6239454497760145,0.5997182130813599,0.662633728144778,0.5920380691913047,1.0338035428917014,0.8964144659566355,0.27477813225526077,0.0,0.0,0.6098901098901099,0.592828769938054,0.6121269105220881,0.6001436114311218,0.6566050932444562,0.5848268903527103,2.0139150619506836,0.896136570762802,0.275616786309651,3.266566957746233,0.0
