config,model,seed,extra,run_dir,teacher,teacher_seconds,trained,seconds
rec0.3_span6_long,dm_cmrn,42,,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.3_span6_long_seed42,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed42\best.pt,36.8,True,64.2
rec0.05_span6,dm_cmrn,42,--rec-weight 0.05,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.05_span6_seed42,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed42\best.pt,36.8,True,92.7
rec0.1_span6,dm_cmrn,42,--rec-weight 0.1,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.1_span6_seed42,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed42\best.pt,36.8,True,67.9
rec0.3_span3,dm_cmrn,42,--ctx-span 3,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.3_span3_seed42,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed42\best.pt,36.8,True,66.6
rec0.3_span12,dm_cmrn,42,--ctx-span 12,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.3_span12_seed42,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed42\best.pt,36.8,True,83.4
rec0.3_span6_long,dm_cmrn,43,,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.3_span6_long_seed43,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed43\best.pt,33.0,True,75.3
rec0.05_span6,dm_cmrn,43,--rec-weight 0.05,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.05_span6_seed43,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed43\best.pt,33.0,True,77.4
rec0.1_span6,dm_cmrn,43,--rec-weight 0.1,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.1_span6_seed43,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed43\best.pt,33.0,True,74.4
rec0.3_span3,dm_cmrn,43,--ctx-span 3,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.3_span3_seed43,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed43\best.pt,33.0,True,83.1
rec0.3_span12,dm_cmrn,43,--ctx-span 12,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.3_span12_seed43,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed43\best.pt,33.0,True,84.1
rec0.3_span6_long,dm_cmrn,44,,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.3_span6_long_seed44,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed44\best.pt,35.6,True,95.3
rec0.05_span6,dm_cmrn,44,--rec-weight 0.05,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.05_span6_seed44,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed44\best.pt,35.6,True,95.3
rec0.1_span6,dm_cmrn,44,--rec-weight 0.1,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.1_span6_seed44,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed44\best.pt,35.6,True,96.0
rec0.3_span3,dm_cmrn,44,--ctx-span 3,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.3_span3_seed44,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed44\best.pt,35.6,True,94.3
rec0.3_span12,dm_cmrn,44,--ctx-span 12,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\rec0.3_span12_seed44,E:\研究生数学建模\e题代码\naiwa-modeling-team\q2_dm_cmrn\outputs\_study\tune\teacher_seed44\best.pt,35.6,True,88.4
