scenario,grid,detail,accuracy,macro_f1,weighted_f1,mae,pearson,ccc,loss,cls,reg,rec,distill
clean,clean,,0.6456043956043956,0.6343202516973009,0.6490913640093968,0.5985599756240845,0.668827928048874,0.6569015891770841,0.983478789801126,0.8438703692876376,0.2792168649343344,0.0,0.0
type|text|r30,type,text|r30,0.6263736263736264,0.6195924007225502,0.6324260635138782,0.6093994975090027,0.6475401189053109,0.6311035525586413,1.0025368758610316,0.8596713090990926,0.28573110372155575,0.0,0.0
type|audio|r30,type,audio|r30,0.6456043956043956,0.6333285332860622,0.6485684703868982,0.5988302230834961,0.6686075555648804,0.6562139721080148,0.9843975580655612,0.8445419878750057,0.2797111809908689,0.0,0.0
type|vision|r30,type,vision|r30,0.6510989010989011,0.6384754110670818,0.6535648815267988,0.6006039381027222,0.6677739826624264,0.6561896114386695,0.9838609774034102,0.8436685649903266,0.28038482482616717,0.0,0.0
type|text+audio|r30,type,text+audio|r30,0.6277472527472527,0.6213065957039071,0.6336375930749576,0.6107001900672913,0.6466874119540711,0.6299003490018228,1.0047850097928728,0.8612431012667142,0.2870838055898855,0.0,0.0
type|text+vision|r30,type,text+vision|r30,0.6277472527472527,0.6201674675986603,0.6337554548989673,0.6124129295349121,0.646418464794962,0.6308748494359585,1.0035452240115994,0.8597523406311706,0.28758575628092004,0.0,0.0
type|audio+vision|r30,type,audio+vision|r30,0.6524725274725275,0.6403145512942349,0.6547915953808032,0.600057065486908,0.6680604942547864,0.6560534331362917,0.9837749240162609,0.8435900191684346,0.28036982672555105,0.0,0.0
type|text+audio+vision|r30,type,text+audio+vision|r30,0.6291208791208791,0.6220905120233979,0.6347066563988903,0.6131876707077026,0.6458469224818497,0.6300224073286157,1.0053494683988802,0.8609966268906226,0.28870567286407556,0.0,0.0
position|start|text,position,start|text,0.6195054945054945,0.6111813759873835,0.6266157068392005,0.6087173819541931,0.6397554670904545,0.6244550382251673,1.0090699379260724,0.864805940088335,0.28852799109050203,0.0,0.0
position|start|audio,position,start|audio,0.6456043956043956,0.6332526917903815,0.6484648497111776,0.5986413359642029,0.6685765474365566,0.6561960257820038,0.9845953786766136,0.8447593522595835,0.27967203449416944,0.0,0.0
position|start|vision,position,start|vision,0.6538461538461539,0.6412954229586982,0.6563967010281163,0.6004757881164551,0.6681632752715226,0.6565819044747497,0.9834602390016828,0.8433664421458821,0.28018760484653515,0.0,0.0
position|middle|text,position,middle|text,0.6277472527472527,0.6202059940442041,0.6328772817216387,0.5993015170097351,0.6543718028489913,0.6365790113920653,1.0013352377074105,0.8598470144219451,0.282976440348468,0.0,0.0
position|middle|audio,position,middle|audio,0.646978021978022,0.635109499148908,0.6499651902618394,0.5980162620544434,0.6695058471714851,0.657107359673549,0.9834262067145043,0.8438963385728689,0.2790597562606518,0.0,0.0
position|middle|vision,position,middle|vision,0.6456043956043956,0.6327720144440744,0.6478075887342983,0.6010296940803528,0.6672831986466222,0.6558283075866963,0.9851816381726947,0.8447983467971886,0.28076658831847895,0.0,0.0
position|end|text,position,end|text,0.6208791208791209,0.609323888559771,0.6252367472093011,0.6029460430145264,0.6632473717123893,0.6449607144013955,0.9920695325830481,0.8524812001448411,0.27917667044388067,0.0,0.0
position|end|audio,position,end|audio,0.6483516483516484,0.6372249319300364,0.6513111512368125,0.5980561971664429,0.6692102746836036,0.6568770780468987,0.9831500407103654,0.8436324720854288,0.27903516541470536,0.0,0.0
position|end|vision,position,end|vision,0.646978021978022,0.6334007055540732,0.648945045742223,0.6022219657897949,0.6669777133632938,0.6553247280229652,0.9855934656583346,0.844866367486807,0.2814541914305844,0.0,0.0
position|random|text,position,random|text,0.6263736263736264,0.6195924007225502,0.6324260635138782,0.6093994975090027,0.6475401189053109,0.6311035525586413,1.0025368758610316,0.8596713090990926,0.28573110372155575,0.0,0.0
position|random|audio,position,random|audio,0.6456043956043956,0.6333285332860622,0.6485684703868982,0.5988302230834961,0.6686075555648804,0.6562139721080148,0.9843975580655612,0.8445419878750057,0.2797111809908689,0.0,0.0
position|random|vision,position,random|vision,0.6510989010989011,0.6384754110670818,0.6535648815267988,0.6006039381027222,0.6677739826624264,0.6561896114386695,0.9838609774034102,0.8436685649903266,0.28038482482616717,0.0,0.0
ratio|all|0.1,ratio,all|0.1,0.6346153846153846,0.6258585978547542,0.6389311614408926,0.6016517877578735,0.6637503681609371,0.649609706008893,0.9990173119765061,0.8583581552400694,0.2813183295202779,0.0,0.0
ratio|text|0.1,ratio,text|0.1,0.6346153846153846,0.626689699408146,0.6392865961555281,0.6008039116859436,0.6642484771704682,0.6499685486473765,0.9992939783976629,0.8590935324574565,0.28040091153029556,0.0,0.0
ratio|audio|0.1,ratio,audio|0.1,0.646978021978022,0.6355769220746836,0.650326075224278,0.5982049107551575,0.6689031239666646,0.6567658096630515,0.9832297380153949,0.8436048816848587,0.27924970480111927,0.0,0.0
ratio|vision|0.1,ratio,vision|0.1,0.6510989010989011,0.6390979006182926,0.6536316891540389,0.5998566746711731,0.6681142498099945,0.6564084822467161,0.9834161223946037,0.8434566298683921,0.2799189945498666,0.0,0.0
ratio|all|0.2,ratio,all|0.2,0.6291208791208791,0.6195190672515171,0.6348764509460305,0.6088050007820129,0.6536192084949103,0.639448712852039,1.0060061255654136,0.8628602551889943,0.28629175549025065,0.0,0.0
ratio|text|0.2,ratio,text|0.2,0.6277472527472527,0.6188972761855039,0.6332326122338958,0.606943666934967,0.6542326303265098,0.6398547373271543,1.0051522687241272,0.862750842676058,0.284802862903574,0.0,0.0
ratio|audio|0.2,ratio,audio|0.2,0.6456043956043956,0.6337214705403412,0.6488261234522837,0.5989170074462891,0.6684338526054413,0.6561944394216385,0.9841737851991759,0.8443244990411696,0.2796985565961062,0.0,0.0
ratio|vision|0.2,ratio,vision|0.2,0.6497252747252747,0.6373184762362266,0.6522366547246133,0.6003241539001465,0.6680009340425574,0.6563986102925984,0.9840349129268101,0.843946825671982,0.28017617778463677,0.0,0.0
ratio|all|0.3,ratio,all|0.3,0.6291208791208791,0.6220905120233979,0.6347066563988903,0.6131876707077026,0.6458469224818497,0.6300224073286157,1.0053494683988802,0.8609966268906226,0.28870567286407556,0.0,0.0
ratio|text|0.3,ratio,text|0.3,0.6263736263736264,0.6195924007225502,0.6324260635138782,0.6093994975090027,0.6475401189053109,0.6311035525586413,1.0025368758610316,0.8596713090990926,0.28573110372155575,0.0,0.0
ratio|audio|0.3,ratio,audio|0.3,0.6456043956043956,0.6333285332860622,0.6485684703868982,0.5988302230834961,0.6686075555648804,0.6562139721080148,0.9843975580655612,0.8445419878750057,0.2797111809908689,0.0,0.0
ratio|vision|0.3,ratio,vision|0.3,0.6510989010989011,0.6384754110670818,0.6535648815267988,0.6006039381027222,0.6677739826624264,0.6561896114386695,0.9838609774034102,0.8436685649903266,0.28038482482616717,0.0,0.0
ratio|all|0.4,ratio,all|0.4,0.6236263736263736,0.6181566646023721,0.6303770564408133,0.6090706586837769,0.6483433655697574,0.6309436327427966,0.9991750704063164,0.856684779727852,0.28498058561440354,0.0,0.0
ratio|text|0.4,ratio,text|0.4,0.6195054945054945,0.6135864775454037,0.6271815936349439,0.6064079403877258,0.649464465474093,0.6310252401148739,0.997038674223554,0.8559362580488016,0.28220484675941887,0.0,0.0
ratio|audio|0.4,ratio,audio|0.4,0.6442307692307693,0.6321050866756229,0.6471410709567715,0.5983187556266785,0.6690987523050811,0.6565443092524236,0.9841117125291091,0.8443632309253399,0.27949697663495826,0.0,0.0
ratio|vision|0.4,ratio,vision|0.4,0.646978021978022,0.6338692386134195,0.6490459300104796,0.6013011932373047,0.6670356681464876,0.6555077790068408,0.9845172861120203,0.8440054923623472,0.28102358749934603,0.0,0.0
ratio|all|0.5,ratio,all|0.5,0.614010989010989,0.6076013405334377,0.6204923663022095,0.6220173835754395,0.6267112553540579,0.6046922343684312,1.0206813157259762,0.8722112467000772,0.2969401478767395,0.0,0.0
ratio|text|0.5,ratio,text|0.5,0.5961538461538461,0.591089725468322,0.6053850313375778,0.6170671582221985,0.629734826656073,0.6061557880943669,1.0156351196896898,0.8694606331678537,0.29234894979131093,0.0,0.0
ratio|audio|0.5,ratio,audio|0.5,0.6442307692307693,0.6321050866756229,0.6471410709567715,0.5983824729919434,0.669062660323319,0.6563023839917564,0.9846541514763465,0.8448390155048161,0.27963023853825997,0.0,0.0
ratio|vision|0.5,ratio,vision|0.5,0.646978021978022,0.6334565149628321,0.6487730216122528,0.6027870774269104,0.6656726097082979,0.6542618640536325,0.9860939259057516,0.8450388849436582,0.2821100779942104,0.0,0.0
duration|text|2w,duration,text|2w,0.635989010989011,0.6265300600102363,0.6407508510403412,0.5966574549674988,0.6623235542013169,0.6463871185598953,0.9921335374915993,0.8516831391460293,0.28090080880856777,0.0,0.0
duration|audio|2w,duration,audio|2w,0.6483516483516484,0.6370212110404927,0.651266538536323,0.598072350025177,0.6691979447845136,0.6570543620689808,0.983017507490221,0.843495439697098,0.2790441673535567,0.0,0.0
duration|vision|2w,duration,vision|2w,0.646978021978022,0.634562503000602,0.6492108137819216,0.5999802947044373,0.6677960848628036,0.6562009523824929,0.9842485739634588,0.8442191075492691,0.2800589334833753,0.0,0.0
duration|text|4w,duration,text|4w,0.6304945054945055,0.6211061024851442,0.6352616237529143,0.5918595790863037,0.6638060567337619,0.6461123178535587,0.9919721700332977,0.8529997795492739,0.27794479341297357,0.0,0.0
duration|audio|4w,duration,audio|4w,0.6483516483516484,0.6368862521629364,0.6513589198193606,0.5979725122451782,0.6694107138081457,0.6572035269494262,0.982790578852643,0.8433033103471274,0.2789745085187011,0.0,0.0
