id,rank,modality,window_index,occlusion_drop,modality_contribution,evidence_score,regression_change,start_time,end_time,start_time_normalized,end_time_normalized,text_fragment,frame_path
01,1,text,8,0.01637512445449829,0.9243683087213433,0.015136646097106096,0.009709089994430542,1.44,1.62,0.16,0.18,components,
01,2,text,9,0.014022648334503174,0.9243683087213433,0.01296209172475886,0.0052388012409210205,1.62,1.8,0.18,0.2,components,
01,3,text,0,0.012755632400512695,0.9243683087213433,0.011790902348733088,0.002281695604324341,0.0,0.18,0.0,0.02,Replacing,
01,4,audio,1,0.00967031717300415,0.07563169127865663,0.0007313824429953414,0.004155933856964111,0.18,0.36,0.02,0.04,Replacing,
01,5,audio,15,0.006473362445831299,0.07563169127865663,0.0004895913500379624,0.002498343586921692,2.7,2.88,0.3,0.32,the,
01,6,audio,3,0.004737555980682373,0.07563169127865663,0.0003583093713463226,0.00563463568687439,0.54,0.72,0.06,0.08,these,
02,1,audio,4,0.0074291229248046875,0.3571246178765299,0.002653122685678642,0.013987839221954346,0.27943752,0.3492969,0.08,0.1,want,
02,2,audio,5,0.00621110200881958,0.3571246178765299,0.0022181374314918395,0.004119396209716797,0.3492969,0.41915628,0.1,0.12,want,
02,3,audio,3,0.005166411399841309,0.3571246178765299,0.0018450526969612752,0.0023640990257263184,0.20957814,0.27943752,0.06,0.08,We,
02,4,vision,15,0.002412140369415283,0.6428753821234702,0.0015507056617232986,0.0017694830894470215,1.0478907,1.11775008,0.3,0.32,by,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\02_window_15.jpg
02,5,vision,12,0.0023173093795776367,0.6428753821234702,0.0014897411528942749,0.0031852126121520996,0.83831256,0.90817194,0.24,0.26,live,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\02_window_12.jpg
02,6,vision,16,0.00230330228805542,0.6428753821234702,0.0014807363385794913,0.001522064208984375,1.11775008,1.18760946,0.32,0.34,by,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\02_window_16.jpg
03,1,text,24,0.024032652378082275,0.8904942834063246,0.02140093955777368,0.014248490333557129,4.63871856,4.8319985,0.48,0.5,who,
03,2,text,25,0.020899951457977295,0.8904942834063246,0.01861128729679846,0.015538632869720459,4.8319985,5.02527844,0.5,0.52,who,
03,3,text,20,0.020295143127441406,0.8904942834063246,0.01807270893589973,0.03215456008911133,3.8655988000000003,4.05887874,0.4,0.42,just,
03,4,vision,9,0.0058678388595581055,0.10950571659367535,0.000642561899172125,0.003091871738433838,1.73951946,1.9327994000000002,0.18,0.2,the,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\03_window_09.jpg
03,5,vision,12,0.005356967449188232,0.10950571659367535,0.0005866185592923505,0.004158496856689453,2.31935928,2.51263922,0.24,0.26,which,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\03_window_12.jpg
03,6,vision,13,0.0052332282066345215,0.10950571659367535,0.0005730684048657478,0.003951609134674072,2.51263922,2.70591916,0.26,0.28,which,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\03_window_13.jpg
04,1,audio,1,0.006811916828155518,0.7209157546202609,0.004910818160580189,0.014701247215270996,0.1398802,0.2797604,0.02,0.04,If,
04,2,audio,15,0.00648421049118042,0.7209157546202609,0.004674569499365945,0.005417943000793457,2.098203,2.2380832,0.3,0.32,team,
04,3,audio,16,0.006281793117523193,0.7209157546202609,0.004528643625687594,0.011707603931427002,2.2380832,2.3779634,0.32,0.34,team,
